商品编号	中文名称	道具种类	具体类别	详细类别	等级
82	双刀7	0	0	5	7
83	双刀8	0	0	5	8
84	双刀9	0	0	5	9
85	双刀10	0	0	5	10
86	金钱镖	0	1	0	1
87	少林枣仁镖	0	1	0	2
88	燕子镖	0	1	0	3
89	十字镖	0	1	0	4
90	柳叶镖	0	1	0	5
91	飞蝗镖	0	1	0	6
92	少林亮银飞镖	0	1	0	7
93	蝴蝶镖	0	1	0	8
94	金镖	0	1	0	9
95	霸王镖	0	1	0	10
96	飞刀	0	1	1	1
97	飞石	0	1	1	2
98	柳叶刀	0	1	1	3
99	飞蝗石	0	1	1	4
100	带衣刀	0	1	1	5
101	山核桃	0	1	1	6
102	光杆刀	0	1	1	7
103	如意珠	0	1	1	8
104	毒刀	0	1	1	9
105	碎月珠	0	1	1	10
106	袖箭	0	1	2	1
107	足底针	0	1	2	2
108	吹箭	0	1	2	3
109	青峰钉	0	1	2	4
110	背装弩	0	1	2	5
111	含沙射影	0	1	2	6
112	破甲弩	0	1	2	7
113	暴雨梨花针	0	1	2	8
114	诸葛弩	0	1	2	9
115	孔雀翎	0	1	2	10
116	布衣	0	2	0	1
117	普通丐衣	0	2	0	2
118	叫化衣	0	2	0	3
119	土麻丐衣	0	2	0	4
120	荨麻丐衣	0	2	0	5
121	火麻丐衣	0	2	0	6
122	十方丐衣	0	2	0	7
123	百结丐衣	0	2	0	8
124	缠丝千结服	0	2	0	9
125	万流归宗衣	0	2	0	10
126	沙弥服	0	2	1	1
127	僧衣	0	2	1	2
128	百衲衣	0	2	1	3
129	月白袈裟	0	2	1	4
130	暂缺	0	2	1	5
131	安陀会	0	2	1	6
132	郁多罗僧	0	2	1	7
133	僧伽梨	0	2	1	8
134	金缕袈裟	0	2	1	9
135	七宝袈裟	0	2	1	10
136	道士大褂	0	2	2	1
137	暂缺	0	2	2	2
138	净衣	0	2	2	3
139	暂缺	0	2	2	4
140	暂缺	0	2	2	5
141	暂缺	0	2	2	6
142	七宝霞衣	0	2	2	7
143	暂缺	0	2	2	8
144	暂缺	0	2	2	9
145	千年鹤氅	0	2	2	10
146	紧身服	0	2	3	1
147	暂缺	0	2	3	2
148	夜行衣	0	2	3	3
149	暂缺	0	2	3	4
150	暂缺	0	2	3	5
151	暂缺	0	2	3	6
152	渔忍装	0	2	3	7
153	暂缺	0	2	3	8
154	暂缺	0	2	3	9
155	千忍秘装	0	2	3	10
156	粗布长袍	0	2	4	1
157	暂缺	0	2	4	2
158	任侠服	0	2	4	3
159	暂缺	0	2	4	4
160	暂缺	0	2	4	5
161	暂缺	0	2	4	6
162	银丝袍	0	2	4	7
163	暂缺	0	2	4	8
164	暂缺	0	2	4	9
165	绛纱袍	0	2	4	10
166	锁子甲	0	2	5	1
167	暂缺	0	2	5	2
168	明光铠	0	2	5	3
169	暂缺	0	2	5	4
170	暂缺	0	2	5	5
171	暂缺	0	2	5	6
172	獬豸甲	0	2	5	7
173	暂缺	0	2	5	8
174	暂缺	0	2	5	9
175	唐猊甲	0	2	5	10
176	女式道衣	0	2	6	1
177	暂缺	0	2	6	2
178	火烷道衣	0	2	6	3
179	暂缺	0	2	6	4
180	暂缺	0	2	6	5
181	暂缺	0	2	6	6
182	冰蚕道衣	0	2	6	7
183	暂缺	0	2	6	8
184	暂缺	0	2	6	9
185	龙绡道衣	0	2	6	10
186	百迭裙	0	2	7	1
187	暂缺	0	2	7	2
188	织锦石榴裙	0	2	7	3
189	双蝶绣罗裙	0	2	7	4
190	暂缺	0	2	7	5
191	月华裙	0	2	7	6
192	凤尾裙	0	2	7	7
193	百鸟裙	0	2	7	8
194	暂缺	0	2	7	9
195	留仙裙	0	2	7	10
196	蜀锦衣	0	2	8	1
197	暂缺	0	2	8	2
198	暂缺	0	2	8	3
199	灵蛇装	0	2	8	4
200	暂缺	0	2	8	5
201	黑貂裘	0	2	8	6
202	暂缺	0	2	8	7
203	七尾白狐裘	0	2	8	8
204	暂缺	0	2	8	9
205	迷魂裳	0	2	8	10
206	黑铁女甲	0	2	9	1
207	暂缺	0	2	9	2
208	白茸甲	0	2	9	3
209	暂缺	0	2	9	4
210	暂缺	0	2	9	5
211	暂缺	0	2	9	6
212	紫燕钢甲	0	2	9	7
213	暂缺	0	2	9	8
214	暂缺	0	2	9	9
215	金凤甲	0	2	9	10
216	沙弥帽	0	7	0	1
217	帽子名（待定）	0	7	0	2
218	帽子名（待定）	0	7	0	3
219	僧迦帽	0	7	0	4
220	帽子名（待定）	0	7	0	5
221	帽子名（待定）	0	7	0	6
222	芙蓉帽	0	7	0	7
223	帽子名（待定）	0	7	0	8
224	帽子名（待定）	0	7	0	9
225	毗卢帽	0	7	0	10
226	一字巾	0	7	1	1
227	帽子名（待定）	0	7	1	2
228	帽子名（待定）	0	7	1	3
229	太极巾	0	7	1	4
230	帽子名（待定）	0	7	1	5
231	帽子名（待定）	0	7	1	6
232	纯阳巾	0	7	1	7
233	帽子名（待定）	0	7	1	8
234	帽子名（待定）	0	7	1	9
235	混元巾	0	7	1	10
236	铜盔	0	7	2	1
237	半面盔	0	7	2	2
238	帽子名（待定）	0	7	2	3
239	帽子名（待定）	0	7	2	4
240	帽子名（待定）	0	7	2	5
241	钢盔	0	7	2	6
242	银盔	0	7	2	7
243	乌钢盔	0	7	2	8
244	金盔	0	7	2	9
245	掩日盔	0	7	2	10
246	竹笠	0	7	3	1
247	帽子名（待定）	0	7	3	2
248	帽子名（待定）	0	7	3	3
249	茱臾草帽	0	7	3	4
250	帽子名（待定）	0	7	3	5
251	帽子名（待定）	0	7	3	6
252	凤尾草帽	0	7	3	7
253	帽子名（待定）	0	7	3	8
254	帽子名（待定）	0	7	3	9
255	墨方竹笠	0	7	3	10
256	银钗	0	7	4	1
257	帽子名（待定）	0	7	4	2
258	帽子名（待定）	0	7	4	3
259	银环钗	0	7	4	4
260	帽子名（待定）	0	7	4	5
261	帽子名（待定）	0	7	4	6
262	金步摇	0	7	4	7
263	帽子名（待定）	0	7	4	8
264	帽子名（待定）	0	7	4	9
265	珍珠五凤钗	0	7	4	10
266	束发铜环	0	7	5	1
267	帽子名（待定）	0	7	5	2
268	帽子名（待定）	0	7	5	3
269	束发银环	0	7	5	4
270	帽子名（待定）	0	7	5	5
271	帽子名（待定）	0	7	5	6
272	白金头环	0	7	5	7
273	帽子名（待定）	0	7	5	8
274	帽子名（待定）	0	7	5	9
275	映日头环	0	7	5	10
276	布帽	0	7	6	1
277	帽子名（待定）	0	7	6	2
278	帽子名（待定）	0	7	6	3
279	黄缎帽	0	7	6	4
280	帽子名（待定）	0	7	6	5
281	帽子名（待定）	0	7	6	6
282	朱绮帽	0	7	6	7
283	帽子名（待定）	0	7	6	8
284	帽子名（待定）	0	7	6	9
285	乌蚕帽	0	7	6	10
286	皮帽	0	7	7	1
287	帽子名（待定）	0	7	7	2
288	帽子名（待定）	0	7	7	3
289	皮胄	0	7	7	4
290	帽子名（待定）	0	7	7	5
291	帽子名（待定）	0	7	7	6
292	赤豚皮帽	0	7	7	7
293	帽子名（待定）	0	7	7	8
294	帽子名（待定）	0	7	7	9
295	玄犀皮帽	0	7	7	10
296	进贤冠	0	7	8	1
297	帽子名（待定）	0	7	8	2
298	帽子名（待定）	0	7	8	3
299	貂蝉冠	0	7	8	4
300	帽子名（待定）	0	7	8	5
301	帽子名（待定）	0	7	8	6
302	獬豸冠	0	7	8	7
303	帽子名（待定）	0	7	8	8
304	帽子名（待定）	0	7	8	9
305	通天冠	0	7	8	10
306	草鞋	0	5	0	1
307	布鞋	0	5	0	2
308	千层布鞋	0	5	0	3
309	葛鞋	0	5	0	4
310	苍葛鞋	0	5	0	5
311	百年苍葛鞋	0	5	0	6
312	雉尾棕鞋	0	5	0	7
313	靴子名（暂缺）	0	5	0	8
314	凤尾棕鞋	0	5	0	9
315	九节菖蒲鞋	0	5	0	10
316	牛皮靴	0	5	1	1
317	靴子名（暂缺）	0	5	1	2
318	乌皮靴	0	5	1	3
319	靴子名（暂缺）	0	5	1	4
320	绯罗靴	0	5	1	5
321	靴子名（暂缺）	0	5	1	6
322	虎皮靴	0	5	1	7
323	犀皮靴	0	5	1	8
324	龙麟靴	0	5	1	9
325	天蚕靴	0	5	1	10
326	绣鞋	0	5	2	1
327	靴子名（暂缺）	0	5	2	2
328	锦鞋	0	5	2	3
329	靴子名（暂缺）	0	5	2	4
330	缎鞋	0	5	2	5
331	靴子名（暂缺）	0	5	2	6
332	鸳鸯鞋	0	5	2	7
333	靴子名（暂缺）	0	5	2	8
334	靴子名（暂缺）	0	5	2	9
335	金缕鞋	0	5	2	10
336	鹿皮靴	0	5	3	1
337	靴子名（暂缺）	0	5	3	2
338	银缎靴	0	5	3	3
339	靴子名（暂缺）	0	5	3	4
340	火翔靴	0	5	3	5
341	靴子名（暂缺）	0	5	3	6
342	霜纨靴	0	5	3	7
343	靴子名（暂缺）	0	5	3	8
344	靴子名（暂缺）	0	5	3	9
345	飞凤靴	0	5	3	10
346	牛皮腰带	0	6	0	1
347	狼皮腰带	0	6	0	2
348	乌藤腰带	0	6	0	3
349	蟒皮腰带	0	6	0	4
350	鳄皮腰带	0	6	0	5
351	象皮腰带	0	6	0	6
352	鲨皮腰带	0	6	0	7
353	犀角腰带	0	6	0	8
354	龙鳞腰带	0	6	0	9
355	天蚕腰带	0	6	0	10
356	青铜腰带	0	6	1	1
357	锡腰带	0	6	1	2
358	黄铜腰带	0	6	1	3
359	铁腰带	0	6	1	4
360	精钢腰带	0	6	1	5
361	银腰带	0	6	1	6
362	秘银腰带	0	6	1	7
363	金腰带	0	6	1	8
364	乌金腰带	0	6	1	9
365	白金腰带	0	6	1	10
366	青铜手镯	0	8	0	1
367	练铜手镯	0	8	0	2
368	镔铁护腕	0	8	0	3
369	银丝镯	0	8	0	4
370	金丝镯	0	8	0	5
371	白玉镯	0	8	0	6
372	翡翠玉镯	0	8	0	7
373	温凉玉镯	0	8	0	8
374	冰魄寒玉镯	0	8	0	9
375	龙凤血玉镯	0	8	0	10
376	牛皮护腕	0	8	1	1
377	狼皮护腕	0	8	1	2
378	乌藤护腕	0	8	1	3
379	蟒皮护腕	0	8	1	4
380	鳄皮护腕	0	8	1	5
381	象皮护腕	0	8	1	6
382	鲨皮护腕	0	8	1	7
383	犀角护腕	0	8	1	8
384	龙鳞护腕	0	8	1	9
385	天蚕护腕	0	8	1	10
