1	凤翔府	成都府	大理府	汴京府	襄阳府	扬州府	临安府	江津村	龙门镇	巴陵县	南岳镇	龙泉村
信相寺后院地道口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
长江源头	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
猛虎洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
经皇洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白云洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白云洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
神仙洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
神仙洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
神仙洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
响水洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
神仙洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
神仙洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
神仙洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
响水洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
竹丝洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
南岳镇	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
神农架	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
武陵山脚	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
南岳镇	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
衡山脚下	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
山宝洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
蚩尤洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
蚩尤洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
燕子洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
蚩尤洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
蚩尤洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
青螺洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
洞庭湖底	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天王洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白水洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白水洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白水洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏流洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏流洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏流洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白水洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白水洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白水洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏流洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
大酋洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏流洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏流洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏流洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
白水洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏牛山北麓	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
铁塔迷宫	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
剑阁蜀道	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
锁云洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
鸡冠洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
天心洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
荐菊洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
荐菊洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
荐菊洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
荐菊洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
灵谷洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
荐菊洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
荐菊洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
荐菊洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
武当井底	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
火狼洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
伏牛山南麓	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
蜀冈山脚	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
