ID	DESC	SECT	FightState
122	鸡冠洞内洞洞口	91, 1780, 2815	1
123	鸡冠洞内洞洞口	91, 1574, 2661	1
124	鸡冠洞洞口	90, 1605, 3201	1
125	鸡冠洞洞口	90, 1636, 3060	1
126	鸡冠洞洞口	90, 1670, 3168	1
127	鸡冠洞洞口	90, 1838, 2860	1
128	鸡冠洞洞口	90, 1787, 3540	1
129	鸡冠洞洞口	90, 1919, 3358	1
130	天心洞内洞洞口	42, 1562, 3058	1
131	天心洞内洞洞口	42, 1696, 3011	1
132	荐菊洞洞口	92, 1848, 3231	1
133	荐菊洞洞口	92, 1900, 3212	1
134	荐菊洞洞口	92, 2025, 3040	1
135	灵谷洞内洞洞口	94, 1591, 3192	1
136	灵谷洞洞口	92, 1687, 2996	1
137	灵谷洞洞口	92, 1783, 2576	1
138	灵谷洞洞口	92, 1868, 2453	1
139	灵谷洞洞口	92, 1928, 2578	1
140	荐菊洞内洞洞口	93, 1717, 3109	1
141	灵谷洞内洞洞口	94, 1643, 3257	1
142	灵谷洞内洞洞口	94, 1670, 3045	1
143	灵谷洞内洞洞口	94, 1719, 3217	1
144	灵谷洞内洞洞口	94, 1749, 3111	1
145	荐菊洞内洞洞口	93, 1699, 3026	1
146	荐菊洞内洞洞口	93, 1570, 3121	1
147	荐菊洞内洞洞口	93, 1527, 3169	1
148	武当井底	82, 1590, 3193	1
149	火狼洞内洞洞口	83, 1589, 3240	1
150	伏牛山南麓	90, 1649, 3567	1
151	蜀冈山脚	92, 1596, 3246	1
152	华山脚下	2, 2292, 4089	1
