装备名称	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	空手走路	短武器走路	长武器走路	双武器走路	空手跑步	短武器跑步	长武器跑步	双武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	打坐	跳跃	骑马站立	骑马走动	纵马扬鞭
长枪类3	FM_LW_011_ST01.spr	FM_LW_011_ST02.spr	FM_LW_011_ST03.spr	FM_LW_011_ST04.spr	FM_LW_011_ST05.spr	FM_LW_011_ST06.spr	FM_LW_011_WK01.spr	FM_LW_011_WK02.spr	FM_LW_011_WK03.spr	FM_LW_011_WK04.spr	FM_LW_011_RN01.spr	FM_LW_011_RN02.spr	FM_LW_011_RN03.spr	FM_LW_011_RN04.spr	FM_LW_011_IJ01.spr	FM_LW_011_IJ02.spr	FM_LW_011_IJ03.spr	FM_LW_011_IJ04.spr	FM_LW_011_DE01.spr	FM_LW_011_DE02.spr	FM_LW_011_DE03.spr	FM_LW_011_DE04.spr	FM_LW_011_AT01.spr	FM_LW_011_AT02.spr	FM_LW_011_AT03.spr	FM_LW_011_AT04.spr	FM_LW_011_AT05.spr	FM_LW_011_AT06.spr	FM_LW_011_AT07.spr	FM_LW_011_MG01.spr	FM_LW_011_MG02.spr	FM_LW_011_MG03.spr	FM_LW_011_MG04.spr	FM_LW_011_MG05.spr	FM_LW_011_ZZ01.spr	FM_LW_011_JP01.spr	FM_LW_011_RD01.spr	FM_LW_011_HW01.spr	FM_LW_011_HR01.spr
长棍类1	FM_LW_012_ST01.spr	FM_LW_012_ST02.spr	FM_LW_012_ST03.spr	FM_LW_012_ST04.spr	FM_LW_012_ST05.spr	FM_LW_012_ST06.spr	FM_LW_012_WK01.spr	FM_LW_012_WK02.spr	FM_LW_012_WK03.spr	FM_LW_012_WK04.spr	FM_LW_012_RN01.spr	FM_LW_012_RN02.spr	FM_LW_012_RN03.spr	FM_LW_012_RN04.spr	FM_LW_012_IJ01.spr	FM_LW_012_IJ02.spr	FM_LW_012_IJ03.spr	FM_LW_012_IJ04.spr	FM_LW_012_DE01.spr	FM_LW_012_DE02.spr	FM_LW_012_DE03.spr	FM_LW_012_DE04.spr	FM_LW_012_AT01.spr	FM_LW_012_AT02.spr	FM_LW_012_AT03.spr	FM_LW_012_AT04.spr	FM_LW_012_AT05.spr	FM_LW_012_AT06.spr	FM_LW_012_AT07.spr	FM_LW_012_MG01.spr	FM_LW_012_MG02.spr	FM_LW_012_MG03.spr	FM_LW_012_MG04.spr	FM_LW_012_MG05.spr	FM_LW_012_ZZ01.spr	FM_LW_012_JP01.spr	FM_LW_012_RD01.spr	FM_LW_012_HW01.spr	FM_LW_012_HR01.spr
长棍类2	FM_LW_013_ST01.spr	FM_LW_013_ST02.spr	FM_LW_013_ST03.spr	FM_LW_013_ST04.spr	FM_LW_013_ST05.spr	FM_LW_013_ST06.spr	FM_LW_013_WK01.spr	FM_LW_013_WK02.spr	FM_LW_013_WK03.spr	FM_LW_013_WK04.spr	FM_LW_013_RN01.spr	FM_LW_013_RN02.spr	FM_LW_013_RN03.spr	FM_LW_013_RN04.spr	FM_LW_013_IJ01.spr	FM_LW_013_IJ02.spr	FM_LW_013_IJ03.spr	FM_LW_013_IJ04.spr	FM_LW_013_DE01.spr	FM_LW_013_DE02.spr	FM_LW_013_DE03.spr	FM_LW_013_DE04.spr	FM_LW_013_AT01.spr	FM_LW_013_AT02.spr	FM_LW_013_AT03.spr	FM_LW_013_AT04.spr	FM_LW_013_AT05.spr	FM_LW_013_AT06.spr	FM_LW_013_AT07.spr	FM_LW_013_MG01.spr	FM_LW_013_MG02.spr	FM_LW_013_MG03.spr	FM_LW_013_MG04.spr	FM_LW_013_MG05.spr	FM_LW_013_ZZ01.spr	FM_LW_013_JP01.spr	FM_LW_013_RD01.spr	FM_LW_013_HW01.spr	FM_LW_013_HR01.spr
长棍类3	FM_LW_014_ST01.spr	FM_LW_014_ST02.spr	FM_LW_014_ST03.spr	FM_LW_014_ST04.spr	FM_LW_014_ST05.spr	FM_LW_014_ST06.spr	FM_LW_014_WK01.spr	FM_LW_014_WK02.spr	FM_LW_014_WK03.spr	FM_LW_014_WK04.spr	FM_LW_014_RN01.spr	FM_LW_014_RN02.spr	FM_LW_014_RN03.spr	FM_LW_014_RN04.spr	FM_LW_014_IJ01.spr	FM_LW_014_IJ02.spr	FM_LW_014_IJ03.spr	FM_LW_014_IJ04.spr	FM_LW_014_DE01.spr	FM_LW_014_DE02.spr	FM_LW_014_DE03.spr	FM_LW_014_DE04.spr	FM_LW_014_AT01.spr	FM_LW_014_AT02.spr	FM_LW_014_AT03.spr	FM_LW_014_AT04.spr	FM_LW_014_AT05.spr	FM_LW_014_AT06.spr	FM_LW_014_AT07.spr	FM_LW_014_MG01.spr	FM_LW_014_MG02.spr	FM_LW_014_MG03.spr	FM_LW_014_MG04.spr	FM_LW_014_MG05.spr	FM_LW_014_ZZ01.spr	FM_LW_014_JP01.spr	FM_LW_014_RD01.spr	FM_LW_014_HW01.spr	FM_LW_014_HR01.spr
双剑类1	FM_LW_015_ST01.spr	FM_LW_015_ST02.spr	FM_LW_015_ST03.spr	FM_LW_015_ST04.spr	FM_LW_015_ST05.spr	FM_LW_015_ST06.spr	FM_LW_015_WK01.spr	FM_LW_015_WK02.spr	FM_LW_015_WK03.spr	FM_LW_015_WK04.spr	FM_LW_015_RN01.spr	FM_LW_015_RN02.spr	FM_LW_015_RN03.spr	FM_LW_015_RN04.spr	FM_LW_015_IJ01.spr	FM_LW_015_IJ02.spr	FM_LW_015_IJ03.spr	FM_LW_015_IJ04.spr	FM_LW_015_DE01.spr	FM_LW_015_DE02.spr	FM_LW_015_DE03.spr	FM_LW_015_DE04.spr	FM_LW_015_AT01.spr	FM_LW_015_AT02.spr	FM_LW_015_AT03.spr	FM_LW_015_AT04.spr	FM_LW_015_AT05.spr	FM_LW_015_AT06.spr	FM_LW_015_AT07.spr	FM_LW_015_MG01.spr	FM_LW_015_MG02.spr	FM_LW_015_MG03.spr	FM_LW_015_MG04.spr	FM_LW_015_MG05.spr	FM_LW_015_ZZ01.spr	FM_LW_015_JP01.spr	FM_LW_015_RD01.spr	FM_LW_015_HW01.spr	FM_LW_015_HR01.spr
双剑类2	FM_LW_016_ST01.spr	FM_LW_016_ST02.spr	FM_LW_016_ST03.spr	FM_LW_016_ST04.spr	FM_LW_016_ST05.spr	FM_LW_016_ST06.spr	FM_LW_016_WK01.spr	FM_LW_016_WK02.spr	FM_LW_016_WK03.spr	FM_LW_016_WK04.spr	FM_LW_016_RN01.spr	FM_LW_016_RN02.spr	FM_LW_016_RN03.spr	FM_LW_016_RN04.spr	FM_LW_016_IJ01.spr	FM_LW_016_IJ02.spr	FM_LW_016_IJ03.spr	FM_LW_016_IJ04.spr	FM_LW_016_DE01.spr	FM_LW_016_DE02.spr	FM_LW_016_DE03.spr	FM_LW_016_DE04.spr	FM_LW_016_AT01.spr	FM_LW_016_AT02.spr	FM_LW_016_AT03.spr	FM_LW_016_AT04.spr	FM_LW_016_AT05.spr	FM_LW_016_AT06.spr	FM_LW_016_AT07.spr	FM_LW_016_MG01.spr	FM_LW_016_MG02.spr	FM_LW_016_MG03.spr	FM_LW_016_MG04.spr	FM_LW_016_MG05.spr	FM_LW_016_ZZ01.spr	FM_LW_016_JP01.spr	FM_LW_016_RD01.spr	FM_LW_016_HW01.spr	FM_LW_016_HR01.spr
双剑类3	FM_LW_017_ST01.spr	FM_LW_017_ST02.spr	FM_LW_017_ST03.spr	FM_LW_017_ST04.spr	FM_LW_017_ST05.spr	FM_LW_017_ST06.spr	FM_LW_017_WK01.spr	FM_LW_017_WK02.spr	FM_LW_017_WK03.spr	FM_LW_017_WK04.spr	FM_LW_017_RN01.spr	FM_LW_017_RN02.spr	FM_LW_017_RN03.spr	FM_LW_017_RN04.spr	FM_LW_017_IJ01.spr	FM_LW_017_IJ02.spr	FM_LW_017_IJ03.spr	FM_LW_017_IJ04.spr	FM_LW_017_DE01.spr	FM_LW_017_DE02.spr	FM_LW_017_DE03.spr	FM_LW_017_DE04.spr	FM_LW_017_AT01.spr	FM_LW_017_AT02.spr	FM_LW_017_AT03.spr	FM_LW_017_AT04.spr	FM_LW_017_AT05.spr	FM_LW_017_AT06.spr	FM_LW_017_AT07.spr	FM_LW_017_MG01.spr	FM_LW_017_MG02.spr	FM_LW_017_MG03.spr	FM_LW_017_MG04.spr	FM_LW_017_MG05.spr	FM_LW_017_ZZ01.spr	FM_LW_017_JP01.spr	FM_LW_017_RD01.spr	FM_LW_017_HW01.spr	FM_LW_017_HR01.spr
双锤类1	FM_LW_018_ST01.spr	FM_LW_018_ST02.spr	FM_LW_018_ST03.spr	FM_LW_018_ST04.spr	FM_LW_018_ST05.spr	FM_LW_018_ST06.spr	FM_LW_018_WK01.spr	FM_LW_018_WK02.spr	FM_LW_018_WK03.spr	FM_LW_018_WK04.spr	FM_LW_018_RN01.spr	FM_LW_018_RN02.spr	FM_LW_018_RN03.spr	FM_LW_018_RN04.spr	FM_LW_018_IJ01.spr	FM_LW_018_IJ02.spr	FM_LW_018_IJ03.spr	FM_LW_018_IJ04.spr	FM_LW_018_DE01.spr	FM_LW_018_DE02.spr	FM_LW_018_DE03.spr	FM_LW_018_DE04.spr	FM_LW_018_AT01.spr	FM_LW_018_AT02.spr	FM_LW_018_AT03.spr	FM_LW_018_AT04.spr	FM_LW_018_AT05.spr	FM_LW_018_AT06.spr	FM_LW_018_AT07.spr	FM_LW_018_MG01.spr	FM_LW_018_MG02.spr	FM_LW_018_MG03.spr	FM_LW_018_MG04.spr	FM_LW_018_MG05.spr	FM_LW_018_ZZ01.spr	FM_LW_018_JP01.spr	FM_LW_018_RD01.spr	FM_LW_018_HW01.spr	FM_LW_018_HR01.spr
双锤类2	FM_LW_019_ST01.spr	FM_LW_019_ST02.spr	FM_LW_019_ST03.spr	FM_LW_019_ST04.spr	FM_LW_019_ST05.spr	FM_LW_019_ST06.spr	FM_LW_019_WK01.spr	FM_LW_019_WK02.spr	FM_LW_019_WK03.spr	FM_LW_019_WK04.spr	FM_LW_019_RN01.spr	FM_LW_019_RN02.spr	FM_LW_019_RN03.spr	FM_LW_019_RN04.spr	FM_LW_019_IJ01.spr	FM_LW_019_IJ02.spr	FM_LW_019_IJ03.spr	FM_LW_019_IJ04.spr	FM_LW_019_DE01.spr	FM_LW_019_DE02.spr	FM_LW_019_DE03.spr	FM_LW_019_DE04.spr	FM_LW_019_AT01.spr	FM_LW_019_AT02.spr	FM_LW_019_AT03.spr	FM_LW_019_AT04.spr	FM_LW_019_AT05.spr	FM_LW_019_AT06.spr	FM_LW_019_AT07.spr	FM_LW_019_MG01.spr	FM_LW_019_MG02.spr	FM_LW_019_MG03.spr	FM_LW_019_MG04.spr	FM_LW_019_MG05.spr	FM_LW_019_ZZ01.spr	FM_LW_019_JP01.spr	FM_LW_019_RD01.spr	FM_LW_019_HW01.spr	FM_LW_019_HR01.spr
双锤类3	FM_LW_020_ST01.spr	FM_LW_020_ST02.spr	FM_LW_020_ST03.spr	FM_LW_020_ST04.spr	FM_LW_020_ST05.spr	FM_LW_020_ST06.spr	FM_LW_020_WK01.spr	FM_LW_020_WK02.spr	FM_LW_020_WK03.spr	FM_LW_020_WK04.spr	FM_LW_020_RN01.spr	FM_LW_020_RN02.spr	FM_LW_020_RN03.spr	FM_LW_020_RN04.spr	FM_LW_020_IJ01.spr	FM_LW_020_IJ02.spr	FM_LW_020_IJ03.spr	FM_LW_020_IJ04.spr	FM_LW_020_DE01.spr	FM_LW_020_DE02.spr	FM_LW_020_DE03.spr	FM_LW_020_DE04.spr	FM_LW_020_AT01.spr	FM_LW_020_AT02.spr	FM_LW_020_AT03.spr	FM_LW_020_AT04.spr	FM_LW_020_AT05.spr	FM_LW_020_AT06.spr	FM_LW_020_AT07.spr	FM_LW_020_MG01.spr	FM_LW_020_MG02.spr	FM_LW_020_MG03.spr	FM_LW_020_MG04.spr	FM_LW_020_MG05.spr	FM_LW_020_ZZ01.spr	FM_LW_020_JP01.spr	FM_LW_020_RD01.spr	FM_LW_020_HW01.spr	FM_LW_020_HR01.spr
