武器类别	战斗站立	普通站立1	普通站立2	战斗行走	普通行走	战斗跑步	普通跑步	受伤	死亡	攻击1	攻击2	魔法	打坐	跳跃
双锤类1	双武器站立	空手站立2	空手站立1	双武器走路	双武器走路	双武器跑步	双武器跑步	双武器受伤	双武器死亡	双武器砸	双武器划	双武器魔法	打坐	跳跃
双锤类2	双武器站立	空手站立2	空手站立1	双武器走路	双武器走路	双武器跑步	双武器跑步	双武器受伤	双武器死亡	双武器砸	双武器划	双武器魔法	打坐	跳跃
双锤类3	双武器站立	空手站立2	空手站立1	双武器走路	双武器走路	双武器跑步	双武器跑步	双武器受伤	双武器死亡	双武器砸	双武器划	双武器魔法	打坐	跳跃
暗器	空手站立3	空手站立2	空手站立1	空手走路	空手走路	空手跑步	空手跑步	空手受伤	空手死亡	暗器投掷	暗器投掷	空手魔法	打坐	跳跃
单手剑4	短武器站立	空手站立2	空手站立1	短武器走路	短武器走路	短武器跑步	短武器跑步	短武器受伤	短武器死亡	短武器刺	短武器砍	短武器魔法	打坐	跳跃
单手剑5	短武器站立	空手站立2	空手站立1	短武器走路	短武器走路	短武器跑步	短武器跑步	短武器受伤	短武器死亡	短武器砍	短武器刺	短武器魔法	打坐	跳跃
单手刀4	短武器站立	空手站立2	空手站立1	短武器走路	短武器走路	短武器跑步	短武器跑步	短武器受伤	短武器死亡	短武器砍	短武器刺	短武器魔法	打坐	跳跃
单手刀5	短武器站立	空手站立2	空手站立1	短武器走路	短武器走路	短武器跑步	短武器跑步	短武器受伤	短武器死亡	短武器砍	短武器刺	短武器魔法	打坐	跳跃
长枪类4	长武器站立	空手站立2	空手站立1	长武器走路	长武器走路	长武器跑步	长武器跑步	长武器受伤	长武器死亡	长武器戳	长武器劈	长武器魔法	打坐	跳跃
长枪类5	长武器站立	空手站立2	空手站立1	长武器走路	长武器走路	长武器跑步	长武器跑步	长武器受伤	长武器死亡	长武器戳	长武器劈	长武器魔法	打坐	跳跃
长棍类4	长武器站立	空手站立2	空手站立1	长武器走路	长武器走路	长武器跑步	长武器跑步	长武器受伤	长武器死亡	长武器劈	长武器戳	长武器魔法	打坐	跳跃
长棍类5	长武器站立	空手站立2	空手站立1	长武器走路	长武器走路	长武器跑步	长武器跑步	长武器受伤	长武器死亡	长武器劈	长武器戳	长武器魔法	打坐	跳跃
双剑类4	双武器站立	空手站立2	空手站立1	双武器走路	双武器走路	双武器跑步	双武器跑步	双武器受伤	双武器死亡	双武器划	双武器砸	双武器魔法	打坐	跳跃
双剑类5	双武器站立	空手站立2	空手站立1	双武器走路	双武器走路	双武器跑步	双武器跑步	双武器受伤	双武器死亡	双武器划	双武器砸	双武器魔法	打坐	跳跃
双锤类4	双武器站立	空手站立2	空手站立1	双武器走路	双武器走路	双武器跑步	双武器跑步	双武器受伤	双武器死亡	双武器砸	双武器划	双武器魔法	打坐	跳跃
双锤类5	双武器站立	空手站立2	空手站立1	双武器走路	双武器走路	双武器跑步	双武器跑步	双武器受伤	双武器死亡	双武器砸	双武器划	双武器魔法	打坐	跳跃
