武器类别	战斗站立	普通站立1	普通站立2	战斗行走	普通行走	战斗跑步	普通跑步	受伤	死亡	攻击1	攻击2	魔法	打坐	跳跃
enemy003	enemy003_st.spr	enemy003_st.spr	enemy003_pst.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_bat.spr	enemy003_die.spr	enemy003_at.spr	enemy003_at.spr	enemy003_at.spr		
enemy004	enemy004_st.spr	enemy004_st.spr	enemy004_pst.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_bat.spr	enemy004_die.spr	enemy004_at.spr	enemy004_at.spr	enemy004_at.spr		
enemy005	enemy005_st.spr	enemy005_st.spr	enemy005_pst.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_bat.spr	enemy005_die.spr	enemy005_at.spr	enemy005_at.spr	enemy005_at.spr		
enemy006	enemy006_st.spr	enemy006_st.spr	enemy006_pst.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_bat.spr	enemy006_die.spr	enemy006_at.spr	enemy006_at.spr	enemy006_at.spr		
enemy007	enemy007_st.spr	enemy007_st.spr	enemy007_pst.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_bat.spr	enemy007_die.spr	enemy007_at.spr	enemy007_at.spr	enemy007_at.spr		
enemy015	enemy015_st.spr	enemy015_st.spr	enemy015_pst.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_bat.spr	enemy015_die.spr	enemy015_at.spr	enemy015_at.spr	enemy015_at.spr		
enemy016	enemy016_st.spr	enemy016_st.spr	enemy016_pst.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_bat.spr	enemy016_die.spr	enemy016_at.spr	enemy016_at.spr	enemy016_at.spr		
enemy017	enemy017_st.spr	enemy017_st.spr	enemy017_pst.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_bat.spr	enemy017_die.spr	enemy017_at.spr	enemy017_at.spr	enemy017_at.spr		
enemy021	enemy021_st.spr	enemy021_st.spr	enemy021_pst.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_bat.spr	enemy021_die.spr	enemy021_at.spr	enemy021_at.spr	enemy021_at.spr		
enemy022	enemy022_st.spr	enemy022_st.spr	enemy022_pst.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_bat.spr	enemy022_die.spr	enemy022_at.spr	enemy022_at.spr	enemy022_at.spr		
enemy023	enemy023_st.spr	enemy023_st.spr	enemy023_pst.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_bat.spr	enemy023_die.spr	enemy023_at.spr	enemy023_at.spr	enemy023_at.spr		
enemy024	enemy024_st.spr	enemy024_st.spr	enemy024_pst.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_bat.spr	enemy024_die.spr	enemy024_at.spr	enemy024_at.spr	enemy024_at.spr		
enemy026	enemy026_st.spr	enemy026_st.spr	enemy026_pst.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_bat.spr	enemy026_die.spr	enemy026_at.spr	enemy026_at.spr	enemy026_at.spr		
enemy028	enemy028_st.spr	enemy028_st.spr	enemy028_pst.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_bat.spr	enemy028_die.spr	enemy028_at.spr	enemy028_at.spr	enemy028_at.spr		
enemy029	enemy029_st.spr	enemy029_st.spr	enemy029_pst.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_bat.spr	enemy029_die.spr	enemy029_at.spr	enemy029_at.spr	enemy029_at.spr		
enemy090	enemy090_st.spr	enemy090_st.spr	enemy090_pst.spr									
enemy091	enemy091_st.spr	enemy091_st.spr	enemy091_pst.spr									
enemy092	enemy092_st.spr	enemy092_st.spr	enemy092_pst.spr									
enemy093	enemy093_st.spr	enemy093_st.spr	enemy093_pst.spr									
enemy094	enemy094_st.spr	enemy094_st.spr	enemy094_pst.spr									
enemy095	enemy095_st.spr	enemy095_st.spr	enemy095_pst.spr									
enemy096	enemy096_st.spr	enemy096_st.spr	enemy096_pst.spr									
enemy097	enemy097_st.spr	enemy097_st.spr	enemy097_pst.spr									
enemy098	enemy098_st.spr	enemy098_st.spr	enemy098_pst.spr									
enemy099	enemy099_st.spr	enemy099_st.spr	enemy099_pst.spr									
enemy100	enemy100_st.spr	enemy100_st.spr	enemy100_pst.spr									
enemy101	enemy101_st.spr	enemy101_st.spr	enemy101_pst.spr									
enemy102	enemy102_st.spr	enemy102_st.spr	enemy102_pst.spr									
enemy103	enemy103_st.spr	enemy103_st.spr	enemy103_pst.spr									
enemy104	enemy104_st.spr	enemy104_st.spr	enemy104_pst.spr									
enemy105	enemy105_st.spr	enemy105_st.spr	enemy105_pst.spr	enemy105_st.spr	enemy105_st.spr	enemy105_st.spr	enemy105_st.spr	enemy105_st.spr	enemy105_st.spr	enemy105_at.spr	enemy105_at.spr	
enemy106	enemy106_st.spr	enemy106_st.spr	enemy106_pst.spr									
enemy107	enemy107_st.spr	enemy107_st.spr	enemy107_pst.spr									
enemy108	enemy108_st.spr	enemy108_st.spr	enemy108_pst.spr									
enemy109	enemy109_st.spr	enemy109_st.spr	enemy109_pst.spr									
enemy110	enemy110_st.spr	enemy110_st.spr	enemy110_pst.spr									
enemy111	enemy111_st.spr	enemy111_st.spr	enemy111_pst.spr									
enemy112	enemy112_st.spr	enemy112_st.spr	enemy112_pst.spr									
enemy115	enemy115_st.spr	enemy115_st.spr	enemy115_pst.spr									
enemy121	enemy121_st.spr	enemy121_st.spr	enemy121_pst.spr	enemy121_wlk.spr	enemy121_wlk.spr	enemy121_wlk.spr	enemy121_wlk.spr	enemy121_bat.spr	enemy121_die.spr	enemy121_at.spr	enemy121_at.spr	enemy121_at.spr
enemy122	enemy122_st.spr	enemy122_st.spr	enemy122_pst.spr	enemy122_wlk.spr	enemy122_wlk.spr	enemy122_wlk.spr	enemy122_wlk.spr	enemy122_bat.spr	enemy122_die.spr	enemy122_at.spr	enemy122_at.spr	enemy122_at.spr
enemy123	enemy123_st.spr	enemy123_st.spr	enemy123_pst.spr	enemy123_wlk.spr	enemy123_wlk.spr	enemy123_wlk.spr	enemy123_wlk.spr	enemy123_bat.spr	enemy123_die.spr	enemy123_at.spr	enemy123_at.spr	enemy123_at.spr
enemy124	enemy124_st.spr	enemy124_st.spr	enemy124_pst.spr	enemy124_wlk.spr	enemy124_wlk.spr	enemy124_wlk.spr	enemy124_wlk.spr	enemy124_bat.spr	enemy124_die.spr	enemy124_at.spr	enemy124_at.spr	enemy124_at.spr
enemy125	enemy125_st.spr	enemy125_st.spr	enemy125_pst.spr	enemy125_wlk.spr	enemy125_wlk.spr	enemy125_wlk.spr	enemy125_wlk.spr	enemy125_bat.spr	enemy125_die.spr	enemy125_at.spr	enemy125_at.spr	enemy125_at.spr
enemy126	enemy126_st.spr	enemy126_st.spr	enemy126_pst.spr	enemy126_wlk.spr	enemy126_wlk.spr	enemy126_wlk.spr	enemy126_wlk.spr	enemy126_bat.spr	enemy126_die.spr	enemy126_at.spr	enemy126_at.spr	enemy126_at.spr
enemy127	enemy127_st.spr	enemy127_st.spr	enemy127_pst.spr	enemy127_wlk.spr	enemy127_wlk.spr	enemy127_wlk.spr	enemy127_wlk.spr	enemy127_bat.spr	enemy127_die.spr	enemy127_at.spr	enemy127_at.spr	enemy127_at.spr
enemy128	enemy128_st.spr	enemy128_st.spr	enemy128_pst.spr	enemy128_wlk.spr	enemy128_wlk.spr	enemy128_wlk.spr	enemy128_wlk.spr	enemy128_bat.spr	enemy128_die.spr	enemy128_at.spr	enemy128_at.spr	enemy128_at.spr
enemy129	enemy129_st.spr	enemy129_st.spr	enemy129_pst.spr	enemy129_wlk.spr	enemy129_wlk.spr	enemy129_wlk.spr	enemy129_wlk.spr	enemy129_bat.spr	enemy129_die.spr	enemy129_at.spr	enemy129_at.spr	enemy129_at.spr
enemy130	enemy130_st.spr	enemy130_st.spr	enemy130_pst.spr	enemy130_wlk.spr	enemy130_wlk.spr	enemy130_wlk.spr	enemy130_wlk.spr	enemy130_bat.spr	enemy130_die.spr	enemy130_at.spr	enemy130_at.spr	enemy130_at.spr
enemy131	enemy131_st.spr	enemy131_st.spr	enemy131_pst.spr	enemy131_wlk.spr	enemy131_wlk.spr	enemy131_wlk.spr	enemy131_wlk.spr	enemy131_bat.spr	enemy131_die.spr	enemy131_at.spr	enemy131_at.spr	enemy131_at.spr
enemy132	enemy132_st.spr	enemy132_st.spr	enemy132_pst.spr	enemy132_wlk.spr	enemy132_wlk.spr	enemy132_wlk.spr	enemy132_wlk.spr	enemy132_bat.spr	enemy132_die.spr	enemy132_at.spr	enemy132_at.spr	enemy132_at.spr
enemy133	enemy133_st.spr	enemy133_st.spr	enemy133_pst.spr	enemy133_wlk.spr	enemy133_wlk.spr	enemy133_wlk.spr	enemy133_wlk.spr	enemy133_bat.spr	enemy133_die.spr	enemy133_at.spr	enemy133_at.spr	enemy133_at.spr
enemy134	enemy134_st.spr	enemy134_st.spr	enemy134_pst.spr	enemy134_wlk.spr	enemy134_wlk.spr	enemy134_wlk.spr	enemy134_wlk.spr	enemy134_bat.spr	enemy134_die.spr	enemy134_at.spr	enemy134_at.spr	enemy134_at.spr
enemy135	enemy135_st.spr	enemy135_st.spr	enemy135_pst.spr	enemy135_wlk.spr	enemy135_wlk.spr	enemy135_wlk.spr	enemy135_wlk.spr	enemy135_bat.spr	enemy135_die.spr	enemy135_at.spr	enemy135_at.spr	enemy135_at.spr
enemy136	enemy136_st.spr	enemy136_st.spr	enemy136_pst.spr	enemy136_wlk.spr	enemy136_wlk.spr	enemy136_wlk.spr	enemy136_wlk.spr	enemy136_bat.spr	enemy136_die.spr	enemy136_at.spr	enemy136_at.spr	enemy136_at.spr
enemy137	enemy137_st.spr	enemy137_st.spr	enemy137_pst.spr	enemy137_wlk.spr	enemy137_wlk.spr	enemy137_wlk.spr	enemy137_wlk.spr	enemy137_bat.spr	enemy137_die.spr	enemy137_at.spr	enemy137_at.spr	enemy137_at.spr
enemy138	enemy138_st.spr	enemy138_st.spr	enemy138_pst.spr	enemy138_wlk.spr	enemy138_wlk.spr	enemy138_wlk.spr	enemy138_wlk.spr	enemy138_bat.spr	enemy138_die.spr	enemy138_at.spr	enemy138_at.spr	enemy138_at.spr
enemy139	enemy139_st.spr	enemy139_st.spr	enemy139_pst.spr	enemy139_wlk.spr	enemy139_wlk.spr	enemy139_wlk.spr	enemy139_wlk.spr	enemy139_bat.spr	enemy139_die.spr	enemy139_at.spr	enemy139_at.spr	enemy139_at.spr
enemy140	enemy140_st.spr	enemy140_st.spr	enemy140_pst.spr	enemy140_wlk.spr	enemy140_wlk.spr	enemy140_wlk.spr	enemy140_wlk.spr	enemy140_bat.spr	enemy140_die.spr	enemy140_at.spr	enemy140_at.spr	enemy140_at.spr
enemy141	enemy141_st.spr	enemy141_st.spr	enemy141_pst.spr	enemy141_wlk.spr	enemy141_wlk.spr	enemy141_wlk.spr	enemy141_wlk.spr	enemy141_bat.spr	enemy141_die.spr	enemy141_at.spr	enemy141_at.spr	enemy141_at.spr
enemy142	enemy142_st.spr	enemy142_st.spr	enemy142_pst.spr	enemy142_wlk.spr	enemy142_wlk.spr	enemy142_wlk.spr	enemy142_wlk.spr	enemy142_bat.spr	enemy142_die.spr	enemy142_at.spr	enemy142_at.spr	enemy142_at.spr
enemy143	enemy143_st.spr	enemy143_st.spr	enemy143_pst.spr	enemy143_wlk.spr	enemy143_wlk.spr	enemy143_wlk.spr	enemy143_wlk.spr	enemy143_bat.spr	enemy143_die.spr	enemy143_at.spr	enemy143_at.spr	enemy143_at.spr
enemy144	enemy144_st.spr	enemy144_st.spr	enemy144_pst.spr	enemy144_wlk.spr	enemy144_wlk.spr	enemy144_wlk.spr	enemy144_wlk.spr	enemy144_bat.spr	enemy144_die.spr	enemy144_at.spr	enemy144_at.spr	enemy144_at.spr
enemy145	enemy145_st.spr	enemy145_st.spr	enemy145_pst.spr	enemy145_wlk.spr	enemy145_wlk.spr	enemy145_wlk.spr	enemy145_wlk.spr	enemy145_bat.spr	enemy145_die.spr	enemy145_at.spr	enemy145_at.spr	enemy145_at.spr
enemy146	enemy146_st.spr	enemy146_st.spr	enemy146_pst.spr	enemy146_wlk.spr	enemy146_wlk.spr	enemy146_wlk.spr	enemy146_wlk.spr	enemy146_bat.spr	enemy146_die.spr	enemy146_at.spr	enemy146_at.spr	enemy146_at.spr
enemy147	enemy147_st.spr	enemy147_st.spr	enemy147_pst.spr	enemy147_wlk.spr	enemy147_wlk.spr	enemy147_wlk.spr	enemy147_wlk.spr	enemy147_bat.spr	enemy147_die.spr	enemy147_at.spr	enemy147_at.spr	enemy147_at.spr
enemy148	enemy148_st.spr	enemy148_st.spr	enemy148_pst.spr	enemy148_wlk.spr	enemy148_wlk.spr	enemy148_wlk.spr	enemy148_wlk.spr	enemy148_bat.spr	enemy148_die.spr	enemy148_at.spr	enemy148_at.spr	enemy148_at.spr
enemy149	enemy149_st.spr	enemy149_st.spr	enemy149_pst.spr	enemy149_wlk.spr	enemy149_wlk.spr	enemy149_wlk.spr	enemy149_wlk.spr	enemy149_bat.spr	enemy149_die.spr	enemy149_at.spr	enemy149_at.spr	enemy149_at.spr
enemy150	enemy150_st.spr	enemy150_st.spr	enemy150_pst.spr	enemy150_wlk.spr	enemy150_wlk.spr	enemy150_wlk.spr	enemy150_wlk.spr	enemy150_bat.spr	enemy150_die.spr	enemy150_at.spr	enemy150_at.spr	enemy150_at.spr
enemy151	enemy151_st.spr	enemy151_st.spr	enemy151_pst.spr									
enemy152	enemy152_st.spr	enemy152_st.spr	enemy152_pst.spr									
enemy153	enemy153_st.spr	enemy153_st.spr	enemy153_pst.spr									
enemy154	enemy154_st.spr	enemy154_st.spr	enemy154_pst.spr									
enemy155	enemy155_st.spr	enemy155_st.spr	enemy155_pst.spr									
enemy156	enemy156_st.spr	enemy156_st.spr	enemy156_pst.spr									
enemy157	enemy157_st.spr	enemy157_st.spr	enemy157_pst.spr	enemy157_wlk.spr	enemy157_wlk.spr	enemy157_wlk.spr	enemy157_wlk.spr	enemy157_bat.spr	enemy157_die.spr	enemy157_at.spr	enemy157_at.spr	enemy157_at.spr
enemy158	enemy158_st.spr	enemy158_st.spr	enemy158_st.spr	enemy158_st.spr	enemy158_st.spr	enemy158_st.spr	enemy158_st.spr	enemy158_st.spr	enemy158_st.spr	enemy158_at.spr	enemy158_at.spr	enemy158_at.spr
enemy159	enemy159_st.spr	enemy159_st.spr	enemy159_pst.spr									
enemy160	enemy160_st.spr	enemy160_st.spr	enemy160_pst.spr									
enemy161	enemy161_st.spr	enemy161_st.spr	enemy161_pst.spr									
enemy162	enemy162_st.spr	enemy162_st.spr	enemy162_pst.spr									
enemy163	enemy163_st.spr	enemy163_st.spr	enemy163_pst.spr									
enemy164	enemy164_st.spr	enemy164_st.spr	enemy164_pst.spr									
enemy165	enemy165_st.spr	enemy165_st.spr	enemy165_pst.spr									
enemy166	enemy166_st.spr	enemy166_st.spr	enemy166_pst.spr									
enemy167	enemy167_st.spr	enemy167_st.spr	enemy167_pst.spr									
enemy168	enemy168_st.spr	enemy168_st.spr	enemy168_pst.spr									
enemy169	enemy169_st.spr	enemy169_st.spr	enemy169_pst.spr									
enemy170	enemy170_st.spr	enemy170_st.spr	enemy170_pst.spr	enemy170_wlk.spr	enemy170_wlk.spr	enemy170_wlk.spr	enemy170_wlk.spr	enemy170_bat.spr	enemy170_die.spr	enemy170_at.spr	enemy170_at.spr	enemy170_at.spr
enemy171	enemy171_st.spr	enemy171_st.spr	enemy171_pst.spr	enemy171_wlk.spr	enemy171_wlk.spr	enemy171_wlk.spr	enemy171_wlk.spr	enemy171_bat.spr	enemy171_die.spr	enemy171_at.spr	enemy171_at.spr	enemy171_at.spr
enemy172	enemy172_st.spr	enemy172_st.spr	enemy172_pst.spr	enemy172_wlk.spr	enemy172_wlk.spr	enemy172_wlk.spr	enemy172_wlk.spr	enemy172_bat.spr	enemy172_die.spr	enemy172_at.spr	enemy172_at.spr	enemy172_at.spr
enemy173	enemy173_st.spr	enemy173_st.spr	enemy173_pst.spr	enemy173_wlk.spr	enemy173_wlk.spr	enemy173_wlk.spr	enemy173_wlk.spr	enemy173_bat.spr	enemy173_die.spr	enemy173_at.spr	enemy173_at.spr	enemy173_at.spr
enemy174	enemy174_st.spr	enemy174_st.spr	enemy174_pst.spr	enemy174_wlk.spr	enemy174_wlk.spr	enemy174_wlk.spr	enemy174_wlk.spr	enemy174_bat.spr	enemy174_die.spr	enemy174_at.spr	enemy174_at.spr	enemy174_at.spr
enemy175	enemy175_st.spr	enemy175_st.spr	enemy175_pst.spr									
enemy176	enemy176_st.spr	enemy176_st.spr	enemy176_pst.spr	enemy176_wlk.spr	enemy176_wlk.spr	enemy176_wlk.spr	enemy176_wlk.spr	enemy176_bat.spr	enemy176_die.spr	enemy176_at.spr	enemy176_at.spr	enemy176_at.spr
enemy177	enemy177_st.spr	enemy177_st.spr	enemy177_pst.spr	enemy177_wlk.spr	enemy177_wlk.spr	enemy177_wlk.spr	enemy177_wlk.spr	enemy177_bat.spr	enemy177_die.spr	enemy177_at.spr	enemy177_at.spr	enemy177_at.spr
enemy178	enemy178_st.spr	enemy178_st.spr	enemy178_st.spr	enemy178_st.spr	enemy178_st.spr	enemy178_st.spr	enemy178_st.spr	enemy178_bat.spr	enemy178_bat.spr	enemy178_st.spr	enemy178_st.spr	enemy178_st.spr
enemy179	enemy179_st.spr	enemy179_st.spr	enemy179_st.spr	enemy179_st.spr	enemy179_st.spr	enemy179_st.spr	enemy179_st.spr	enemy179_bat.spr	enemy179_bat.spr	enemy179_st.spr	enemy179_st.spr	enemy179_st.spr
