前后缀名称	是否前缀	五行属性要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明	近程武器	暗器	盔甲	戒指	项链	靴子	腰带	头盔	护腕	腰坠	马
霓虹	1		6	114	10	12	-1	-1	0	0	加四防	0	0	0	0	500	0	0	0	0	0	0
霓虹	1		7	114	12	14	-1	-1	0	0	加四防	0	0	0	0	400	0	0	0	0	0	0
霓虹	1		8	114	14	16	-1	-1	0	0	加四防	0	0	0	0	300	0	0	0	0	0	0
钻石	1		9	114	16	18	-1	-1	0	0	加四防	0	0	0	0	200	0	0	0	0	0	0
虹霓	1		10	114	18	20	-1	-1	0	0	加四防	0	0	0	0	100	0	0	0	0	0	0
吸血	1		2	136	1	3	-1	-1	0	0	偷血	120	120	0	0	0	0	0	0	0	0	0
蚊子	1		5	136	3	5	-1	-1	0	0	偷血	120	120	0	0	0	0	0	0	0	0	0
水蛭	1		7	136	5	7	-1	-1	0	0	偷血	120	120	0	0	0	0	0	0	0	0	0
食人花	1		10	136	7	10	-1	-1	0	0	偷血	120	120	0	0	0	0	0	0	0	0	0
蝙蝠	1		2	137	1	3	-1	-1	0	0	偷内力	80	80	0	0	0	0	0	0	0	0	0
鬼魂	1		5	137	3	5	-1	-1	0	0	偷内力	70	70	0	0	0	0	0	0	0	0	0
蝗虫	1		7	137	5	7	-1	-1	0	0	偷内力	60	60	0	0	0	0	0	0	0	0	0
蚱蜢	1		10	137	7	10	-1	-1	0	0	偷内力	60	60	0	0	0	0	0	0	0	0	0
朴素	1		1	42	5	10	-1	-1	0	0	减装备属性需求	2000	2000	2000	0	0	2000	2000	2000	2000	0	0
易用	1		2	42	10	15	-1	-1	0	0	减装备属性需求	2000	2000	2000	0	0	2000	2000	2000	2000	0	0
简单	1		3	42	15	20	-1	-1	0	0	减装备属性需求	2000	2000	2000	0	0	2000	2000	2000	2000	0	0
安逸	1		4	42	20	30	-1	-1	0	0	减装备属性需求	2000	2000	2000	0	0	2000	2000	2000	2000	0	0
悠闲	1		5	42	30	40	-1	-1	0	0	减装备属性需求	2000	2000	2000	0	0	2000	2000	2000	2000	0	0
生命	1		1	85	5	20	-1	-1	0	0	加生命最大值上限	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	0
长寿	1		2	85	20	40	-1	-1	0	0	加生命最大值上限	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
长寿	1		3	85	40	60	-1	-1	0	0	加生命最大值上限	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
长生	1		4	85	60	80	-1	-1	0	0	加生命最大值上限	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	0
长生	1		5	85	80	100	-1	-1	0	0	加生命最大值上限	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
生动	1		6	85	100	120	-1	-1	0	0	加生命最大值上限	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	0
生动	1		7	85	120	140	-1	-1	0	0	加生命最大值上限	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	0
生灵	1		8	85	140	160	-1	-1	0	0	加生命最大值上限	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	0
生灵	1		9	85	160	180	-1	-1	0	0	加生命最大值上限	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
长命	1		10	85	180	200	-1	-1	0	0	加生命最大值上限	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
内力	1		1	89	5	20	-1	-1	0	0	加内力上限	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
活力	1		2	89	20	40	-1	-1	0	0	加内力上限	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
活力	1		3	89	40	60	-1	-1	0	0	加内力上限	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	0
旺盛	1		4	89	60	80	-1	-1	0	0	加内力上限	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
旺盛	1		5	89	80	100	-1	-1	0	0	加内力上限	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	0
深厚	1		6	89	100	120	-1	-1	0	0	加内力上限	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	0
深厚	1		7	89	120	140	-1	-1	0	0	加内力上限	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	0
无穷	1		8	89	140	160	-1	-1	0	0	加内力上限	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
无穷	1		9	89	160	180	-1	-1	0	0	加内力上限	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
无尽	1		10	89	180	200	-1	-1	0	0	加内力上限	500	500	500	500	500	500	500	500	500	500	0
持久	1		1	93	5	20	-1	-1	0	0	加体力上限	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	0
持久	1		2	93	20	40	-1	-1	0	0	加体力上限	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
持久	1		3	93	40	60	-1	-1	0	0	加体力上限	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
持久	1		4	93	60	80	-1	-1	0	0	加体力上限	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	0
不断	1		5	93	80	100	-1	-1	0	0	加体力上限	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
不断	1		6	93	100	120	-1	-1	0	0	加体力上限	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	0
不断	1		7	93	120	140	-1	-1	0	0	加体力上限	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	0
不断	1		8	93	140	160	-1	-1	0	0	加体力上限	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	0
渊远	1		9	93	160	180	-1	-1	0	0	加体力上限	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
渊远	1		10	93	180	200	-1	-1	0	0	加体力上限	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
春天	1		1	88	1	1	-1	-1	0	0	加生命恢复速度	0	0	0	0	0	0	0	0	0	0	0
春天	1		1	88	1	1	-1	-1	0	0	加生命恢复速度	0	0	0	0	0	0	0	0	0	0	0
柔和	1		3	88	1	1	-1	-1	0	0	加生命恢复速度	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
柔和	1		3	88	2	2	-1	-1	0	0	加生命恢复速度	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
温柔	1		5	88	2	2	-1	-1	0	0	加生命恢复速度	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
温柔	1		5	88	2	2	-1	-1	0	0	加生命恢复速度	500	500	500	500	500	500	500	500	500	500	0
复活	1		6	88	3	3	-1	-1	0	0	加生命恢复速度	500	500	500	500	500	500	500	500	500	500	0
复活	1		6	88	3	3	-1	-1	0	0	加生命恢复速度	100	100	100	100	100	100	100	100	100	100	0
苏醒	1		8	88	3	3	-1	-1	0	0	加生命恢复速度	100	100	100	100	100	100	100	100	100	100	0
重生	1		10	88	4	4	-1	-1	0	0	加生命恢复速度	50	50	50	50	50	50	50	50	50	50	0
大海	1		1	92	1	1	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
大海	1		2	92	1	1	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
汹涌	1		3	92	1	1	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
汹涌	1		3	92	2	2	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
汹涌	1		3	92	2	2	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
惊涛	1		5	92	2	2	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
惊涛	1		6	92	3	3	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
骤雨	1		8	92	3	3	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
骤雨	1		8	92	3	3	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
浪潮	1		10	92	4	4	-1	-1	0	0	加内力恢复速度	0	0	0	0	0	0	0	0	0	1000	0
充沛	1		1	96	1	1	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
充沛	1		1	96	1	1	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
充沛	1		1	96	1	1	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
充沛	1		1	96	2	2	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
柔韧	1		3	96	2	2	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
柔韧	1		3	96	2	2	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
柔韧	1		3	96	3	3	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
追日	1		5	96	3	3	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
追日	1		6	96	3	3	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
追日	1		7	96	4	4	-1	-1	0	0	加体力恢复速度	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
碧绿	0	0	2	101	1	5	-1	-1	0	0	加抗毒性	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
绿松石	0	0	4	101	5	10	-1	-1	0	0	加抗毒性	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	0
碧玉	0	0	6	101	10	15	-1	-1	0	0	加抗毒性	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
绿宝石	0	0	8	101	15	20	-1	-1	0	0	加抗毒性	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
翡翠	0	0	10	101	20	25	-1	-1	0	0	加抗毒性	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
强力	0	0	1	97	1	2	-1	-1	0	0	加力量	0	0	0	10000	10000	0	0	0	0	10000	0
强力	0	0	2	97	3	4	-1	-1	0	0	加力量	0	0	0	9000	9000	0	0	0	0	9000	0
威力	0	0	3	97	5	6	-1	-1	0	0	加力量	0	0	0	8000	8000	0	0	0	0	8000	0
威力	0	0	4	97	7	8	-1	-1	0	0	加力量	0	0	0	7000	7000	0	0	0	0	7000	0
力量	0	0	5	97	9	10	-1	-1	0	0	加力量	0	0	0	6000	6000	0	0	0	0	6000	0
力量	0	0	6	97	11	12	-1	-1	0	0	加力量	0	0	0	5000	5000	0	0	0	0	5000	0
野牛	0	0	7	97	13	14	-1	-1	0	0	加力量	0	0	0	4000	4000	0	0	0	0	4000	0
巨人	0	0	8	97	15	16	-1	-1	0	0	加力量	0	0	0	3000	3000	0	0	0	0	3000	0
山神	0	0	9	97	17	18	-1	-1	0	0	加力量	0	0	0	2000	2000	0	0	0	0	2000	0
共工	0	0	10	97	19	20	-1	-1	0	0	加力量	0	0	0	1000	1000	0	0	0	0	1000	0
锐金	0	0	1	121	1	5	-1	-1	0	0	加物理伤害	10000	10000	0	0	0	0	0	0	0	0	0
锐金	0	0	2	121	5	10	-1	-1	0	0	加物理伤害	9000	9000	0	0	0	0	0	0	0	0	0
锐金	0	0	3	121	10	15	-1	-1	0	0	加物理伤害	8000	8000	0	0	0	0	0	0	0	0	0
锐金	0	0	4	121	15	20	-1	-1	0	0	加物理伤害	7000	7000	0	0	0	0	0	0	0	0	0
锐金	0	0	5	121	20	25	-1	-1	0	0	加物理伤害	6000	6000	0	0	0	0	0	0	0	0	0
锐金	0	0	6	121	25	30	-1	-1	0	0	加物理伤害	5000	5000	0	0	0	0	0	0	0	0	0
锐金	0	0	7	121	30	35	-1	-1	0	0	加物理伤害	4000	4000	0	0	0	0	0	0	0	0	0
锐金	0	0	8	121	35	40	-1	-1	0	0	加物理伤害	3000	3000	0	0	0	0	0	0	0	0	0
锐金	0	0	9	121	40	45	-1	-1	0	0	加物理伤害	2000	2000	0	0	0	0	0	0	0	0	0
锐金	0	0	10	121	45	50	-1	-1	0	0	加物理伤害	1000	1000	0	0	0	0	0	0	0	0	0
金精	0	0	3	134	2	4	-1	-1	0	0	物理伤害吸收（转化为内力提高）	0	0	500	0	0	500	500	500	500	0	0
金魄	0	0	6	134	4	7	-1	-1	0	0	物理伤害吸收（转化为内力提高）	0	0	500	0	0	500	500	500	500	0	0
金神	0	0	10	134	7	10	-1	-1	0	0	物理伤害吸收（转化为内力提高）	0	0	500	0	0	500	500	500	500	0	0
深红	0	2	2	102	1	5	-1	-1	0	0	加抗火性	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
羽花石	0	2	4	102	5	10	-1	-1	0	0	加抗火性	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	0
火暴	0	2	6	102	10	15	-1	-1	0	0	加抗火性	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
棉红	0	2	8	102	15	20	-1	-1	0	0	加抗火性	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
红宝石	0	2	10	102	20	25	-1	-1	0	0	加抗火性	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
冰精	0	2	3	134	2	6	-1	-1	0	0	冰吸收（转化为内力提高）	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
冰魄	0	2	6	134	6	10	-1	-1	0	0	冰吸收（转化为内力提高）	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
冰神	0	2	10	134	10	15	-1	-1	0	0	冰吸收（转化为内力提高）	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
体质	0	2	1	99	1	2	-1	-1	0	0	加体质	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
狡猾	0	2	2	99	3	4	-1	-1	0	0	加体质	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	0
残忍	0	2	3	99	5	6	-1	-1	0	0	加体质	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	0
贪婪	0	2	4	99	7	8	-1	-1	0	0	加体质	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	0
凶暴	0	2	5	99	9	10	-1	-1	0	0	加体质	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	0
宠大	0	2	6	99	11	12	-1	-1	0	0	加体质	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0
猛虎	0	2	7	99	13	14	-1	-1	0	0	加体质	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	0
长鲵	0	2	8	99	15	16	-1	-1	0	0	加体质	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0
巨灵	0	2	9	99	17	18	-1	-1	0	0	加体质	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
女娲	0	2	10	99	19	20	-1	-1	0	0	加体质	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
寒冷	0	2	1	123	1	10	-1	-1	0	0	加冰伤害	10000	10000	0	0	0	0	0	0	0	0	0
霜冻	0	2	2	123	10	20	-1	-1	0	0	加冰伤害	9000	9000	0	0	0	0	0	0	0	0	0
严寒	0	2	3	123	20	30	-1	-1	0	0	加冰伤害	8000	8000	0	0	0	0	0	0	0	0	0
冰冻	0	2	4	123	30	40	-1	-1	0	0	加冰伤害	7000	7000	0	0	0	0	0	0	0	0	0
冰河	0	2	5	123	40	50	-1	-1	0	0	加冰伤害	6000	6000	0	0	0	0	0	0	0	0	0
寒冬	0	2	6	123	50	60	-1	-1	0	0	加冰伤害	5000	5000	0	0	0	0	0	0	0	0	0
严冬	0	2	7	123	60	70	-1	-1	0	0	加冰伤害	4000	4000	0	0	0	0	0	0	0	0	0
严冰	0	2	8	123	70	80	-1	-1	0	0	加冰伤害	3000	3000	0	0	0	0	0	0	0	0	0
冰极	0	2	9	123	80	90	-1	-1	0	0	加冰伤害	2000	2000	0	0	0	0	0	0	0	0	0
颛顼	0	2	10	123	90	100	-1	-1	0	0	加冰伤害	1000	1000	0	0	0	0	0	0	0	0	0
琥珀	0	1	1	103	1	5	-1	-1	0	0	加抗电性	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
黄玫瑰	0	1	4	103	5	10	-1	-1	0	0	加抗电性	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	0
黄宝石	0	1	7	103	10	15	-1	-1	0	0	加抗电性	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
黄玉	0	1	8	103	15	20	-1	-1	0	0	加抗电性	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
蓝水晶	0	1	10	103	20	30	-1	-1	0	0	加抗电性	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
木精	0	1	3	134	2	6	-1	-1	0	0	毒吸收	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
木魄	0	1	6	134	6	10	-1	-1	0	0	毒吸收	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
木神	0	1	10	134	10	15	-1	-1	0	0	毒吸收	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
运气	0	1	1	135	1	1	-1	-1	0	0	加运气	0	0	0	1000	1000	0	0	0	0	1000	0
好运	0	1	2	135	2	2	-1	-1	0	0	加运气	0	0	0	900	900	0	0	0	0	900	0
偶然	0	1	3	135	3	3	-1	-1	0	0	加运气	0	0	0	800	800	0	0	0	0	800	0
机会	0	1	4	135	4	4	-1	-1	0	0	加运气	0	0	0	700	700	0	0	0	0	700	0
命运	0	1	5	135	5	5	-1	-1	0	0	加运气	0	0	0	600	600	0	0	0	0	600	0
碰巧	0	1	6	135	6	6	-1	-1	0	0	加运气	0	0	0	500	500	0	0	0	0	500	0
巧妙	0	1	7	135	7	7	-1	-1	0	0	加运气	0	0	0	400	400	0	0	0	0	400	0
幸福	0	1	8	135	8	8	-1	-1	0	0	加运气	0	0	0	300	300	0	0	0	0	300	0
天骄	0	1	9	135	9	9	-1	-1	0	0	加运气	0	0	0	200	200	0	0	0	0	200	0
舜	0	1	10	135	10	10	-1	-1	0	0	加运气	0	0	0	100	100	0	0	0	0	100	0
毒液	0	1	1	125	1	10	-1	-1	0	0	加毒伤害	10000	10000	0	0	0	0	0	0	0	0	0
毒蛇	0	1	2	125	10	20	-1	-1	0	0	加毒伤害	9000	9000	0	0	0	0	0	0	0	0	0
枯萎	0	1	3	125	20	30	-1	-1	0	0	加毒伤害	8000	8000	0	0	0	0	0	0	0	0	0
瘟疫	0	1	4	125	30	40	-1	-1	0	0	加毒伤害	7000	7000	0	0	0	0	0	0	0	0	0
怨恨	0	1	5	125	40	50	-1	-1	0	0	加毒伤害	6000	6000	0	0	0	0	0	0	0	0	0
传染	0	1	6	125	50	60	-1	-1	0	0	加毒伤害	5000	5000	0	0	0	0	0	0	0	0	0
腐烂	0	1	7	125	60	70	-1	-1	0	0	加毒伤害	4000	4000	0	0	0	0	0	0	0	0	0
剧毒	0	1	8	125	70	80	-1	-1	0	0	加毒伤害	3000	3000	0	0	0	0	0	0	0	0	0
致死	0	1	9	125	80	90	-1	-1	0	0	加毒伤害	2000	2000	0	0	0	0	0	0	0	0	0
断魂	0	1	10	125	90	100	-1	-1	0	0	加毒伤害	1000	1000	0	0	0	0	0	0	0	0	0
无形	0	3	2	104	3	6	-1	-1	0	0	物免百分比	0	0	10000	0	0	10000	10000	10000	10000	0	0
缥缈	0	3	6	104	6	9	-1	-1	0	0	物免百分比	0	0	9000	0	0	9000	9000	9000	9000	0	0
虚幻	0	3	8	104	10	12	-1	-1	0	0	物免百分比	0	0	8000	0	0	8000	8000	8000	8000	0	0
灵魂	0	3	10	104	12	15	-1	-1	0	0	物免百分比	0	0	7000	0	0	7000	7000	7000	7000	0	0
火精	0	3	3	134	2	6	-1	-1	0	0	火吸收	0	0	1200	0	0	1200	1200	1200	1200	0	0
火魄	0	3	6	134	6	10	-1	-1	0	0	火吸收	0	0	1200	0	0	1200	1200	1200	1200	0	0
火神	0	3	10	134	10	15	-1	-1	0	0	火吸收	0	0	1200	0	0	1200	1200	1200	1200	0	0
温暖	0	3	3	106	25	25	-1	-1	0	0	降低冰冻时间	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0
热心	0	3	4	106	50	50	-1	-1	0	0	降低冰冻时间	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
火热	0	3	5	106	100	100	-1	-1	0	0	不可冻结	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
敏捷	0	3	1	98	1	2	-1	-1	0	0	加敏捷	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0
灵巧	0	3	2	98	3	4	-1	-1	0	0	加敏捷	0	0	9000	9000	9000	9000	9000	9000	9000	9000	0
机敏	0	3	3	98	5	6	-1	-1	0	0	加敏捷	0	0	8000	8000	8000	8000	8000	8000	8000	8000	0
熟练	0	3	4	98	7	8	-1	-1	0	0	加敏捷	0	0	7000	7000	7000	7000	7000	7000	7000	7000	0
巧妙	0	3	5	98	9	10	-1	-1	0	0	加敏捷	0	0	6000	6000	6000	6000	6000	6000	6000	6000	0
